method,cost_bps_roundtrip,sharpe,ann_vol,max_dd
equal_weight,0.0,0.4664720907142498,0.19076585430924084,-0.4722871803199755
mean_variance,0.0,0.6635661098082153,0.13563161972359863,-0.2923284899330305
risk_parity,0.0,0.5658213818687621,0.1588031375545519,-0.37384863927359957
hrp,0.0,0.4152242454405302,0.156323701445195,-0.4039916436327904
black_litterman,0.0,0.8320666266267366,0.1208335241082262,-0.22543795065324246
equal_weight,10.0,0.4664720907142498,0.19076585430924084,-0.4722871803199755
mean_variance,10.0,0.6538814452914098,0.13557869196459466,-0.2963883400936642
risk_parity,10.0,0.5650580524510327,0.1588007402869091,-0.3740381596136392
hrp,10.0,0.3972231358350418,0.15630823800607027,-0.40667081050842935
black_litterman,10.0,0.8290018067655067,0.12082564888654725,-0.22563190315772375
equal_weight,25.0,0.4664720907142498,0.19076585430924084,-0.4722871803199755
mean_variance,25.0,0.639312101341875,0.13550526894301787,-0.3024376958468056
risk_parity,25.0,0.5639128366699554,0.15879719463426673,-0.3743223374014425
hrp,25.0,0.3701880768761651,0.15629632149884296,-0.41100614404459235
black_litterman,25.0,0.8243990191026562,0.12081454075793281,-0.22592275370166537
equal_weight,50.0,0.4664720907142498,0.19076585430924084,-0.4722871803199755
mean_variance,50.0,0.614922322807637,0.1353988416204944,-0.31241304944737736
risk_parity,50.0,0.5620035557654203,0.15879141921998494,-0.3747956932476154
hrp,50.0,0.32505791221141067,0.15630654253034848,-0.4181672642985802
black_litterman,50.0,0.8167131158313538,0.12079790698570739,-0.2264072961044885
equal_weight,100.0,0.4664720907142498,0.19076585430924084,-0.4722871803199755
mean_variance,100.0,0.5657766584320368,0.1352459366820834,-0.3319687279252903
risk_parity,100.0,0.5581828104379812,0.15878037098201495,-0.3757413790382248
hrp,100.0,0.23464605547155454,0.15643973093422184,-0.4322508040148768
black_litterman,100.0,0.8012881634140034,0.12077169192159172,-0.22737559945067953
equal_weight,200.0,0.4664720907142498,0.19076585430924084,-0.4722871803199755
mean_variance,200.0,0.46631987531034513,0.1351806888695699,-0.36954464717562074
risk_parity,200.0,0.5505327513554308,0.1587602853469708,-0.3776286536066582
hrp,200.0,0.054128283212982374,0.15715518918214805,-0.4723311218037639
black_litterman,200.0,0.7702380515777333,0.12074749026726032,-0.22930908364405223
